Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Crowd Control,Crowd Control Counter,Buffs,Debuffs
Galahad,Mauler,Mage,Damage dealer,S,A+,S+,B,stationary,ally-shielder; aoe-damage; summoner,fast,fast,,,yes,,"All units, Area, Single target",,,,,,,Bind — Single target — average,Steadfast — Self — On skill,ATK — Self — low; Haste — Self — high; Energy — Self — low,Haste — Area — average; Movement speed — Area — average
Gerda,Mauler,Tank,Tank,C,C,C,A,high movement,ally-healer; ally-shielder; aoe-healing; battle-start-burst; mass-cc; self-repositioner,fast,fast,,yes,,,,"Area, Single target",,,,Area — average,Self — average — conditional (frequent),Stun — Single target — average; Sleep — Single target — low; Bind — Single target — low; Interrupt — Area — low; Interrupt — Single target — low,Unaffected — Self — On skill,Damage taken — Self — low,
Granny Dahnie,Wilder,Tank,Tank,C,B,C,C,moving,hp-scaling; taunt,,fast,yes,yes,,,,Single target,,,,Self — high,,Bind — Single target — low; Taunt — Single target — average,Unaffected — Self — On skill,Haste — Self — low; Vitality — Self — low,Energy — Single target — low; Haste — Single target — high
Gunnar,Hypogean,Tank,Tank,S+,S+,S+,S+,stationary,ally-shielder; aoe-damage; heal-inhibitor; static-tile-buffer; temporary-stat-buffer,,fast,yes,,,,,"All units, Area, Single target",,,Single target,Self — average,,Stun — Single target — low,Steadfast — Self — Conditional; Steadfast — Single target — Conditional,ATK — Single target — high; ATK SPD — Single target — low; Invincible — Single target — high; Attack range — Single target — high; Ranged DEF — Single target — low; Vitality — Single target — low,Vitality — Single target — low; Healing — Area — low
Gwyneth,Lightbearer,Marksman,Damage dealer,A,S+,?,S+,stationary,dot-specialist; heal-inhibitor; mass-cc; non-ult-utility,,fast,yes,,,,,"Area, Single target",,,Single target — low,,,Stun — Area — low; Silence — Single target — low; Bind — Area — average,,ATK — Self — low; ATK SPD — Self — low; Damage dealt — Self — high,Phys DEF — Single target — low; Vitality — Single target — low
Hammie,Lightbearer,Support,Support,,,,,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,average,,,,,Single target,,,,,Self — high,,,,ATK — Single target — low,
Harak,Hypogean,Warrior,Damage dealer,C,C,A+,B,high movement,assassin; execute; heal-inhibitor; life-drain,fast,fast,,,,,,Single target,,Single target — average,,Self — low,,Knock down — Single target — low,Unaffected — Self — On skill,Haste — Self — high; Crit — Self — high; Energy — Self — high; Invincible — Self — high; Lifedrain — Self — low,Execution — Single target — low; Healing — Single target — low
Hepler,Mauler,Tank,Tank,B,C,C,A+,moving,ally-healer; ally-shielder; high-initial-energy,,fast,,yes,,,,Area,,,,,,Stun — Area — average; Taunt — Area — high; Blind — Area — high,,DEF — Self — low; Damage taken — Self — low; Invincible — Single target — high,Haste — Single target — high
Hewynn,Wilder,Support,Support,B,C,C,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,,,,,,Single target — high,,,Unaffected — Self — On skill,ATK — Self — low; Haste — Single target — average; Damage taken — All units — low,
Himmel,Dimensional,Warrior,Support,S,S+,A+,A+,high movement,ally-buffer; aoe-damage; backline-assassin; backline-inhibit; self-repositioner,slow,fast,,,,,,"All units, Multiple targets, Single target",,Single target,All units,,,Knock down — Multiple targets — low,,ATK — Self — low; Basic stats — Single target — low; Max HP — Self — high,Damage taken — Single target — low
Hodgkin,Graveborn,Warrior,Specialist,C,C,C,C,moving,aoe-damage; enemy-debuffer; heal-inhibitor; summoner,,fast,,yes,yes,,,"Arc, Area",,,Area — high,,,,,ATK — Self — low; Energy — Self — average,Energy — Arc — low; Energy — Single target — high; Phys DEF — Single target — low; Vitality — Single target — low
Hugin,Lightbearer,Support,Support,S+,A+,S,A,stationary,ally-shielder; energy-provider; high-initial-energy; static-tile-buffer; temporary-stat-buffer,fast,fast,,,,yes,,,,,,,Multiple targets — high,,,ATK — Multiple targets — low; Haste — Multiple targets — high; Damage taken — Single target — low; Energy — Single target — average — conditional (frequent),
Igor,Graveborn,Warrior,Specialist,C,C,C,A,high movement,aoe-damage; cheat-death; heal-inhibitor; life-drain; self-repositioner; untargetable,,fast,,,,,,"All units, Area",,,,Self — low,,,Steadfast — Self — Conditional,Lifedrain — Self — low — conditional (frequent),Healing — Single target — low
Indris,Wilder,Marksman,Damage dealer,C,C,C,B,stationary,enemy-debuffer; interrupt,,fast,,,,,,Single target,Single target — average,,Single target — low,,,Knock back — Area — low; Bind — Single target — high,,ATK — Self — low; ATK SPD — Self — average,Magic DEF — Single target — low; Phys DEF — Single target — average
Isabella,Graveborn,Support,Support,C,B,A+,C,stationary,ally-buffer; ally-healer; heal-inhibitor; temporary-stat-buffer,,fast,,,,,Area,,,,,Single target — high,,,Unaffected — Single target — Conditional,ATK — Single target — low — conditional (frequent); ATK SPD — Single target — low; Haste — Single target — low; Energy — Self — average — conditional (frequent); Vitality — Single target — low,ATK — Single target — low; Haste — Single target — low; Magic DEF — Single target — low; Phys DEF — Single target — low; Vitality — Single target — low; ATK SPD — Single target — low
Kafra,Wilder,Warrior,Specialist,C,C,C,C,high movement,assassin; enemy-debuffer; mark-target; non-ult-utility; self-repositioner,,fast,,,,,,Single target,,,,,,Stun — Single target — average; Knock back — Single target — low,Unaffected — Self — On skill,ATK — Self — average,Haste — Single target — low; Phys DEF — Single target — average
Kazim,Mauler,Marksman,Specialist,B,C,C,B,high movement,ally-buffer; aoe-damage; battle-start-burst; high-initial-energy; invincibility; mark-target; mass-cc; non-ult-utility; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,Single target — average,,,Stun — Single target — average; Knock up — Area — low; Knock up — Single target — low,,ATK — Single target — high; ATK SPD — Self — low — conditional (frequent); Haste — Multiple targets — average; Energy — Self — average — conditional (frequent); Invincible — Self — high,
Koko,Mauler,Support,Support,A,B,B,A,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,fast,,,,,,Area,,,,Single target — high,All units — low,Stun — Area — average,,ATK — All units — low; Haste — Self — average; Damage taken — All units — low; Lifedrain — Multiple targets — average; Vitality — Single target — high,Damage taken — Single target — low
Kordan,Mauler,Warrior,Specialist,A,A,S,A,high movement,ally-buffer; high-initial-energy; hp-scaling; self-repositioner; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,Knock down — Single target — low; Knock up — Single target — low; Knock back — Area — low; Bind — Single target — high,,ATK — Area — low; DEF Penetration — Area — high; DEF — Self — low; Lifedrain — Area — average,
Korin,Lightbearer,Warrior,Specialist,C,C,C,C,high movement,ally-shielder; hp-scaling,,fast,,,,,,Area,Single target — average,,Area — low,,Single target — average,Knock back — Area — low; Bind — Area — average,,Damage taken — Self — low,
Kruger,Mauler,Warrior,Specialist,C,A+,A,C,moving,enemy-debuffer; life-drain,,fast,,,,,,"Area, Single target",,,,,,Knock down — Single target — low,,Lifedrain — Self — average; Ranged DEF — Self — low,Damage taken — Single target — low; Phys DEF — Single target — low; Phys DEF — Area — low; Vulnerable — Area — low
Kulu,Hypogean,Marksman,Specialist,A+,C,C,S+,high movement,battlefield-modification; self-repositioner,slow,fast,,,,,,"All units, Area, Single target",,,,,,Knock up — Single target — low; Knock back — Single target — low,Unaffected — Self — On ultimate,ATK — Single target — low; DEF Penetration — Self — high; Invincible — Self — high — conditional (frequent),Damage taken — All units — low; Movement speed — Area — low
Laios,Dimensional,Warrior,Tank,A,C,C,C,moving,ally-buffer; ally-healer; high-initial-energy; summoner; temporary-stat-buffer,slow,fast,,yes,yes,,,,,,,,,Bind — Area — average,,ATK — Multiple targets — low — conditional (rare); ATK — Self — average; Haste — Area — low — conditional (rare); Energy — Self — low — conditional (rare); Max HP — Self — low — conditional (rare),Magic DEF — Area — low; Phys DEF — Area — high
Lamentis,Hypogean,Marksman,Specialist,B,A+,B,C,moving,aoe-damage; high-initial-energy; hp-scaling; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,Single target — average,,Single target,Self — average,,Stun — Multiple targets — average,,ATK SPD — Self — average; Energy — Self — low,Max HP — Multiple targets — low
Lenya,Wilder,Rogue,Damage dealer,C,B,C,B,high movement,backline-assassin; backline-inhibit; counterattack; self-repositioner,,fast,,,,,,"Area, Single target",,,,,Self — high,Stun — Single target — average; Knock back — Area — low,Unaffected — Self — Once,ATK — Self — average; Crit — Self — average; Damage taken — Self — low; Energy — Self — high; Crit DMG boost — Self — average,
Lily May,Wilder,Rogue,Specialist,A,B,C,A,high movement,cc-immunity; hp-scaling; invincibility; non-ult-utility; self-repositioner; ultimate-cancel,,fast,,,,,Single target,,,,Single target,,,Interrupt — Single target — low,Unaffected — Self — Conditional,ATK — Self — low; DEF Penetration — Self — low; Damage dealt — Self — low; Invincible — Self — high,Energy — Single target — high
Lorsan,Wilder,Support,Specialist,B,C,C,C,stationary,aoe-damage; backline-inhibit; dot-specialist; temporary-stat-buffer,,fast,yes,yes,,,,,,,,,,Stun — Multiple targets — high,Unaffected — Single target — On skill,ATK — Self — low; Haste — Single target — average,Haste — Area — low; Max HP — Single target — average
Lucca,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-shielder; high-initial-energy; interrupt,,fast,,,,,,"Area, Single target",,,,Self — low,Self — average,Stun — Area — average; Knock down — Area — low; Knock up — Area — low; Interrupt — Single target — low; Disarm — Single target — average,Steadfast — Self — Permanent; Immune — Self — On skill,ATK — Single target — low; Damage taken — Self — low; Max HP — Self — low,
Lucius,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-healer; ally-shielder; aoe-damage; enemy-debuffer,,fast,,,,,,"Area, Single target",,,,Multiple targets — average,Area — high; Self — average,Stun — Single target — low; Knock back — Single target — low,,,ATK — Area — low; ATK — Single target — average
Lucy,Dimensional,Mage,Specialist,A,C,C,C,moving,ally-shielder; backline-assassin; backline-inhibit; high-initial-energy; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,,,,,Single target — high,Stun — Single target — average; Knock up — Single target — low,Unaffected — Self — On skill,,
Ludovic,Graveborn,Support,Support,A,B,A,A,stationary,ally-healer; aoe-healing,,average,yes,yes,,,"All units, Single target",,,,Single target — average,Multiple targets — average,,Stun — Single target — average,Unaffected — Self — On skill,,
Lumont,Mauler,Tank,Tank,C,C,C,C,high movement,enemy-debuffer; non-ult-utility; taunt; temporary-stat-buffer,,average,,yes,,,,"Area, Single target",,,,,Self — high,Stun — Area — low; Stun — Single target — low; Knock up — Single target — low; Knock back — Area — low; Taunt — Area — average,Unaffected — Self — On skill,Haste — Self — low,ATK — Single target — high
Lyca,Wilder,Marksman,Specialist,C,A,C,B,stationary,ally-buffer; energy-provider; temporary-stat-buffer,,fast,,,,yes,,"All units, Area, Single target",,,,,,Stun — Single target — average,,ATK SPD — All units — low; Energy — All units — low,ATK — All units — low; Phys DEF — All units — low; Phys DEF — Single target — average
Marcille,Dimensional,Mage,Damage dealer,A,C,C,S,stationary,ally-healer; aoe-damage; battle-start-burst; high-damage-ult; revive,,fast,,,,,"All units, Area, Single target",,,,,Single target — high,,Interrupt — Single target — low; Blind — Single target — average,Unaffected — Self — On skill,Haste — Self — low,
Marilee,Lightbearer,Marksman,Damage dealer,B,B,C,C,high movement,hp-scaling; self-repositioner,,fast,,,,,,"Multiple targets, Single target",Self — low,,,,,Stun — Single target — low,,ATK — Self — average — conditional (frequent); ATK — Single target — low; ATK SPD — Self — low,
Mehira,Hypogean,Mage,Specialist,S+,B,A+,S,moving,aoe-damage; enemy-grouping; life-drain; mass-cc; temporary-stat-buffer; untargetable,,fast,,,,,"Area, Single target",,,Single target,,,,Charm — Single target — average; Charm — All units — low; Displace — All units — low,Untargetable — Self — On skill,Haste — Multiple targets — average; Lifedrain — Self — low; Max HP — Self — average,Damage taken — Single target — low
Mikola,Mauler,Support,Support,B,B,A,B,moving,ally-buffer; aoe-healing; temporary-stat-buffer,,fast,,,,,,,,,,Multiple targets — average,,,Unaffected — Self — Conditional,ATK — All units — low; ATK — Self — low; Haste — Multiple targets — high; DEF — Multiple targets — average; Vitality — Multiple targets — high,
Mirael,Lightbearer,Mage,Damage dealer,C,C,C,C,stationary,dot-specialist,,fast,yes,,,,"Area, Single target",,,,,,,,,ATK SPD — Self — average,
Nara,Graveborn,Rogue,Specialist,B,C,C,B,mostly stationary,ally-healer; assassin; execute; heal-inhibitor; high-initial-energy,fast,fast,,,,,,Single target,Single target — high,Single target,Area — average,Area — low,,Knock down — Single target — average; Knock up — Single target — low; Displace — Single target — low,Unaffected — Self — Permanent,ATK — Self — low; Energy — Self — high,Max HP — Single target — average; Vitality — Single target — low
Natsu,Dimensional,Warrior,Damage dealer,B,C,C,B,moving,aoe-damage; dot-specialist; high-damage-ult; high-initial-energy; mass-cc,,fast,yes,,,,"Arc, Single target",,,,Single target,,,Stun — Arc — average; Knock down — Single target — low,,ATK — Self — low; Haste — Self — low; Crit — Self — low; DEF — Self — low; Crit DMG boost — Self — low,Haste — Single target — high; Max HP — Single target — average
Nazrik,Mauler,Marksman,Damage dealer,A,A,B,B,stationary,heal-inhibitor; hp-scaling; mark-target,,fast,,,,,,Single target,Single target — high,,,,,Stun — Single target — average,,Crit — Self — low,Damage taken — Single target — low; Max HP — Single target — low; Vitality — Single target — low; Healing — Single target — average; Crit Resist — Single target — low
Nerion,Graveborn,Marksman,Specialist,A,C,C,A+,mostly stationary,backline-assassin; backline-inhibit; battle-start-burst; dot-specialist; enemy-debuffer,,fast,yes,,,,"Area, Single target",,,,,,Self — high,Stun — Single target — average; Knock up — Area — low,,ATK — Self — high; ATK SPD — Self — high,ATK — Single target — low; Haste — Single target — low
Niru,Graveborn,Support,Support,A+,C,C,A,stationary,ally-healer; battle-start-ult; heal-inhibitor; hp-scaling; temporary-stat-buffer,,fast,,,,,"All units, Single target",,,Single target — low,,,,,,,Healing — Single target — low
Odie,Mauler,Marksman,Damage dealer,A,B,C,B,mostly stationary,dot-specialist; execute,fast,fast,yes,,,,Single target,,,,,,,,,ATK SPD — Self — average,DoT — Single target — average; Execution — Single target — low
Orion,Lightbearer,Warrior,Damage dealer,,,,,moving,aoe-damage; cc-immunity; dot-specialist; enemy-debuffer; heal-inhibitor; high-damage-ult,fast,fast,yes,,,,"Arc, Area, Single target",,Single target — low,,,,Self — low; Multiple targets — low,Stun — Area — average; Silence — Single target — average,Unaffected — Self — Conditional,ATK — Self — low; Damage taken — Self — low; Damage dealt — Self — average; Energy — Self — low,Vitality — Single target — average
Pandora,Dimensional,Support,Support,B,C,A,A+,stationary,enemy-debuffer; energy-provider; heal-inhibitor; mass-cc,fast,fast,yes,,,yes,,,,,,Single target — high,,Frighten — All units — low,,Energy — Single target — low; Energy — Self — low; Invincible — Single target — high; Max HP — Single target — low,ATK — Single target — low; Damage taken — Single target — low; Energy — Single target — low; Haste — Single target — average; Vitality — Single target — average
Pang,Wilder,Warrior,Damage dealer,C,C,C,A,moving,ally-shielder; high-initial-energy; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,Self — high,Stun — Single target — low,Unaffected — Self — On skill,ATK — Self — high; ATK — Multiple targets — average; Haste — Self — high; DEF Penetration — Self — average,Energy — Single target — low
Parisa,Wilder,Mage,Specialist,B,C,C,B,mostly stationary,ally-buffer; aoe-damage; mark-target; temporary-stat-buffer,,fast,,,,,Area,,,,,,,,,ATK — Multiple targets — high; ATK — Self — average; ATK SPD — Multiple targets — low; Energy — Self — average,
Peggy,Lightbearer,Support,Specialist,A+,A+,A+,B,stationary,ally-buffer; ally-healer; ally-shielder; high-initial-energy; summoner,,fast,,yes,yes,,,"Area, Multiple targets",,,,,,,,ATK — All summons — high; Haste — Self — low; DEF — All summons — average; Damage dealt — Multiple targets — low; Ranged damage — All summons — low,
Perseus,Lightbearer,Warrior,Damage dealer,C,C,C,A+,moving,ally-buffer; aoe-damage; temporary-stat-buffer,,fast,,,,,,Area,,,,,,Stun — Area — average; Knock back — Area — low,Unaffected — Self — On skill,ATK — Multiple targets — low; ATK — Self — low; Damage taken — Self — low; Max HP — Self — average — conditional (frequent),
Phraesto,Hypogean,Tank,Tank,A+,A,B,A,moving,ally-buffer; ally-shielder; aoe-damage; energy-provider; heal-inhibitor; summoner,slow,fast,yes,,yes,yes,"Area, Single target",,,,,,,Stun — Single target — average; Taunt — Single target — average,,Damage taken — Single target — low,Vitality — Single target — low
Pippa,Wilder,Mage,Damage dealer,B,C,C,C,high movement,backline-assassin; backline-inhibit; enemy-grouping; hp-scaling,,fast,yes,,,,"Area, Single target",,Area — average,,Multiple targets — average,,,Knock down — Single target — low; Displace — Multiple targets — low; Bind — Multiple targets — low; Bind — Area — average; Bind — Single target — low,Unaffected — Self — On skill,Haste — Self — low,Energy — Area — average
Ravion,Wilder,Rogue,Specialist,A+,A+,A,A+,high movement,ally-shielder; backline-assassin; energy-provider; self-repositioner; temporary-stat-buffer,,fast,,,,yes,,"Area, Single target",,Single target — average,,,,Knock down — Single target — low; Displace — Single target — low; Displace — Area — low,Unaffected — Self — On skill; Unaffected — Single target — Conditional,ATK — Multiple targets — high; ATK — Self — low; Haste — Multiple targets — average; Energy — Multiple targets — average; Lifedrain — Single target — low — conditional (rare),ATK — Single target — low; Phys DEF — Single target — average
Reinier,Hypogean,Support,Support,B,S,A,B,high movement,backline-assassin; enemy-grouping; interrupt,fast,fast,,,,,"Multiple targets, Single target",,,,,Single target — low,,Knock down — Single target — low; Knock up — Single target — low; Displace — Multiple targets — low; Interrupt — Single target — low,,Damage taken — Single target — low,ATK — Single target — average; Damage taken — Single target — average
Rhys,Mauler,Marksman,Damage dealer,B,C,C,C,high movement,aoe-damage; self-repositioner,,fast,,,,,,"All units, Single target",,,,,,Knock back — Single target — low,Immune — Self — Conditional,Crit — Self — average; Crit DMG boost — Self — high; Movement speed — Self — low,
