Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Crowd Control,Crowd Control Counter,atk_buff,basic_stats_buff,atk_spd_buff,haste_buff,crit_buff,def_penetration_buff,def_buff,damage_taken_buff,damage_dealt_buff,ranged_damage_buff,magic_damage_buff,energy_buff,execution_buff,fatal_blow_immunity_buff,invincible_buff,lifedrain_buff,max_hp_buff,attack_range_buff,ranged_def_buff,crit_dmg_boost_buff,vitality_buff,dodge_chance_buff,movement_speed_buff,atk_debuff,basic_stats_debuff,dot_debuff,damage_taken_debuff,damage_dealt_debuff,debuff_duration_debuff,magic_damage_debuff,energy_debuff,execution_debuff,haste_debuff,magic_def_debuff,max_hp_debuff,movement_speed_debuff,phys_def_debuff,vitality_debuff,healing_debuff,crit_resist_debuff,vulnerable_debuff,atk_spd_debuff
Bonnie,Graveborn,Marksman,Specialist,A,A,C,A,high movement,aoe-damage; backline-inhibit; battle-start-burst; enemy-debuffer; non-ult-utility,fast,fast,yes,,,,"Area, Single target",,,,,,,Stun — Single target — average,,,,,,,,,,,,,,,,Self — high,,,,,,,,,Single target — high,,,,,,Single target — low,,,Single target — low,,,,,,,,,
Brutus,Mauler,Warrior,Tank,A,B,C,B,moving,aoe-damage; cheat-death; invincibility; life-drain; taunt,fast,fast,,,,,,"Arc, Area",,,Arc — high,,,Taunt — Area — average,Unaffected — Self — On skill; Immune — Self — On skill,,,,,,,,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,Area — average,,,,,
Bryon,Wilder,Marksman,Damage dealer,A+,C,C,C,stationary,battle-start-ult; cheat-death; high-initial-energy; summoner,slow,fast,yes,,yes,,Single target,,,,,,,Stun — Single target — low,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,Area — low,,,,,,,,,
Callan,Graveborn,Tank,Tank,A+,C,C,A+,moving,ally-shielder; cc-immunity,,fast,,,,,All units,,,,,Self — low,,Stun — All units — average; Stun — Single target — average; Knock down — All units — low,Unaffected — Self — Start of battle,,,,,,,,,,,,,,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,
Carolina,Graveborn,Mage,Specialist,B,C,C,C,mostly stationary,dot-specialist; enemy-debuffer,,fast,,,,,"Area, Single target",,,,,,,Bind — Single target — high,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low; Single target — low,Area — low,,,,,,,,
Cassadee,Lightbearer,Mage,Specialist,C,A,C,C,stationary,ally-buffer; aoe-damage; enemy-debuffer,average,fast,,,,,"Area, Single target",,,,,,,Stun — Single target — low; Stun — Multiple targets — low; Knock up — Single target — low; Knock up — Multiple targets — low; Knock back — Area — average,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,,,,,,,
Cecia,Graveborn,Marksman,Damage dealer,B,B,C,C,mostly stationary,enemy-debuffer; mass-cc; summoner,,fast,yes,,yes,,,"Arc, Single target",,,,,,Bind — Area — average; Bind — Single target — average,,,,Self — average,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,Single target — low,,,,
Chippy,Lightbearer,Tank,Tank,,,,,high movement,self-repositioner,,average,,,,,,Single target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contess,Hypogean,Support,Support,A+,S+,S+,S+,stationary,ally-healer; ally-shielder; enemy-debuffer; stealth; temporary-stat-buffer; untargetable,,fast,yes,,,,,,,,,Multiple targets — high,Single target — average,Stun — Single target — average; Silence — Single target — high,Untargetable — Self — On skill,Single target — high,,,,,,,,,,,Self — low,,,,,,,,,,,,Multiple targets — high; Single target — low,,,,,,,Multiple targets — low; Single target — low,,,,Single target — low,,,,,,,
Cryonaia,Hypogean,Mage,Damage dealer,B,C,B,S,mostly stationary,battlefield-modification; cc-immunity; execute; high-damage-ult; invincibility,,fast,yes,,,,"Area, Single target",,,,,,,,Immune — Self — Conditional,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Cyran,Lightbearer,Mage,Specialist,S,C,C,A+,mostly stationary,aoe-damage; enemy-grouping; execute; high-initial-energy,,fast,yes,,,,"Area, Single target",,All units — average,,,,,Knock down — Area — low; Displace — All units — low; Displace — Area — low; Bind — Area — low; Bind — Single target — low,Unaffected — Self — Start of battle,Self — low,,,Self — average,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,All units — low
Daimon,Graveborn,Tank,Tank,A+,B,B,A,stationary,ally-shielder; hp-scaling; non-ult-utility; summoner; temporary-stat-buffer,fast,fast,yes,,yes,,Single target,,,,Area — high,,Self — low,Frighten — Area — low,,,,,,,,,Self — low,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian,Wilder,Support,Support,C,B,C,B,stationary,ally-buffer; ally-healer; backline-assassin; backline-inhibit; summoner; temporary-stat-buffer,fast,fast,,,yes,,"Area, Single target",,,,,Single target — average,,Stun — Single target — high; Blind — Area — average; Blind — Single target — high,,,,,Multiple targets — high — conditional (frequent),,,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dionel,Celestial,Marksman,Damage dealer,C,C,C,A+,moving,aoe-damage; heal-inhibitor; self-repositioner; untargetable,,fast,,,,,,Area,All units — average,,,,,Knock up — Single target — low,Untargetable — Self — On skill,Self — average,,Self — low,,,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Dunlingr,Celestial,Tank,Tank,A,C,C,S+,moving,ally-buffer; aoe-damage; battle-start-burst; heal-inhibitor; interrupt; temporary-stat-buffer,,fast,,,,,"All units, Area",,,Single target — low,,,Self — low — conditional (frequent),Silence — Single target — low,,Single target — low,,All units — low,Single target — average,,,,Self — low,,,,,,,,All units — low,,,,,,,,,,,,,,,All units — average,,Single target — low; All units — low,,,,,All units — low,,,,
Eironn,Wilder,Rogue,Specialist,S,C,C,A+,moving,aoe-damage; battle-start-burst; battle-start-ult; enemy-grouping; mass-cc,,fast,,,,,"Arc, Area",,,,,,Self — average,Displace — Area — low; Bind — Area — average; Bind — Single target — high,,,,,,,,,,,,,,,,,,,,Self — high,,,Self — high,,,,,,,,,,,Arc — average,Single target — high,,,,,,,,
Evie,Lightbearer,Support,Support,B,A+,B,S,high movement,ally-healer; backline-assassin; backline-inhibit; self-repositioner; stealth; temporary-stat-buffer,,fast,,,,,Single target,,,,,Single target — low,,Silence — Single target — high; Displace — Single target — low; Bind — Single target — high,,Single target — average,,,,,,,,,,,,,,Self — high,,,,,,,,,,,,,Single target — average,Multiple targets — average; Single target — average,,,,,Single target — low; All units — average,,,,,,,,
Faramor,Wilder,Rogue,Damage dealer,S,S,A+,B,moving,ally-buffer; aoe-damage; dot-specialist; heal-inhibitor; hp-scaling,,fast,yes,,,,,"Area, Single target",Area — high,Area — high,,,Self — low,Stun — Area — low,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Fay,Lightbearer,Support,Support,C,A,B,C,mostly stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,Area,,,,,Arc — high,,,,Arc — low,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,
Florabelle,Wilder,Warrior,Damage dealer,A,A+,S,C,stationary,aoe-damage; summoner,,fast,,,yes,,,"Area, Multiple targets",,,,,All summons — average,Knock up — Area — low,Immune — Owned summons — Form,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frieren,Dimensional,Mage,Damage dealer,S+,S+,S+,S+,stationary,aoe-damage; dot-specialist; heal-inhibitor; high-damage-ult; self-repositioner,,fast,yes,,,,"Area, Single target",,All units — high,,,,,Stun — Single target — low; Knock down — Single target — average; Knock up — Single target — low,,Self — low,,,Self — average,,,,,,,,,,,,,,,,,,,,,,Area — low,,,,,,,,,,,,Single target — low,,,,
Galahad,Mauler,Mage,Damage dealer,S,A+,S+,B,stationary,ally-shielder; aoe-damage; summoner,fast,fast,,,yes,,"All units, Area, Single target",,,,,,,Bind — Single target — average,Steadfast — Self — On skill,Self — low,,,Self — high,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,Area — average,,,Area — average,,,,,,
Gerda,Mauler,Tank,Tank,C,C,C,A,high movement,ally-healer; ally-shielder; aoe-healing; battle-start-burst; mass-cc; self-repositioner,fast,fast,,yes,,,,"Area, Single target",,,,Area — average,Self — average — conditional (frequent),Stun — Single target — average; Sleep — Single target — low; Bind — Single target — low; Interrupt — Area — low; Interrupt — Single target — low,Unaffected — Self — On skill,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granny Dahnie,Wilder,Tank,Tank,C,B,C,C,moving,hp-scaling; taunt,,fast,yes,yes,,,,Single target,,,,Self — high,,Bind — Single target — low; Taunt — Single target — average,Unaffected — Self — On skill,,,,Self — low,,,,,,,,,,,,,,,,,Self — low,,,,,,,,,,Single target — low,,Single target — high,,,,,,,,,
Gunnar,Hypogean,Tank,Tank,S+,S+,S+,S+,stationary,ally-shielder; aoe-damage; heal-inhibitor; static-tile-buffer; temporary-stat-buffer,,fast,yes,,,,,"All units, Area, Single target",,,Single target,Self — average,,Stun — Single target — low,Steadfast — Self — Conditional; Steadfast — Single target — Conditional,Single target — high,,Single target — low,,,,,,,,,,,,Single target — high,,,Single target — high,Single target — low,,Single target — low,,,,,,,,,,,,,,,,,Single target — low,Area — low,,,
Gwyneth,Lightbearer,Marksman,Damage dealer,A,S+,?,S+,stationary,dot-specialist; heal-inhibitor; mass-cc; non-ult-utility,,fast,yes,,,,,"Area, Single target",,,Single target — low,,,Stun — Area — low; Silence — Single target — low; Bind — Area — average,,Self — low,,Self — low,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,Single target — low,,,,
Hammie,Lightbearer,Support,Support,,,,,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,average,,,,,Single target,,,,,Self — high,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harak,Hypogean,Warrior,Damage dealer,C,C,A+,B,high movement,assassin; execute; heal-inhibitor; life-drain,fast,fast,,,,,,Single target,,Single target — average,,Self — low,,Knock down — Single target — low,Unaffected — Self — On skill,,,,Self — high,Self — high,,,,,,,Self — high,,,Self — high,Self — low,,,,,,,,,,,,,,,,Single target — low,,,,,,,Single target — low,,,
Hepler,Mauler,Tank,Tank,B,C,C,A+,moving,ally-healer; ally-shielder; high-initial-energy,,fast,,yes,,,,Area,,,,,,Stun — Area — average; Taunt — Area — high; Blind — Area — high,,,,,,,,Self — low,Self — low,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,
Hewynn,Wilder,Support,Support,B,C,C,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,,,,,,Single target — high,,,Unaffected — Self — On skill,Self — low,,,Single target — average,,,,All units — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himmel,Dimensional,Warrior,Support,S,S+,A+,A+,high movement,ally-buffer; aoe-damage; backline-assassin; backline-inhibit; self-repositioner,slow,fast,,,,,,"All units, Multiple targets, Single target",,Single target,All units,,,Knock down — Multiple targets — low,,Self — low,Single target — low,,,,,,,,,,,,,,,Self — high,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Hodgkin,Graveborn,Warrior,Specialist,C,C,C,C,moving,aoe-damage; enemy-debuffer; heal-inhibitor; summoner,,fast,,yes,yes,,,"Arc, Area",,,Area — high,,,,,Self — low,,,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,Arc — low; Single target — high,,,,,,Single target — low,Single target — low,,,,
Hugin,Lightbearer,Support,Support,S+,A+,S,A,stationary,ally-shielder; energy-provider; high-initial-energy; static-tile-buffer; temporary-stat-buffer,fast,fast,,,,yes,,,,,,,Multiple targets — high,,,Multiple targets — low,,,Multiple targets — high,,,,Single target — low,,,,Single target — average — conditional (frequent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor,Graveborn,Warrior,Specialist,C,C,C,A,high movement,aoe-damage; cheat-death; heal-inhibitor; life-drain; self-repositioner; untargetable,,fast,,,,,,"All units, Area",,,,Self — low,,,Steadfast — Self — Conditional,,,,,,,,,,,,,,,,Self — low — conditional (frequent),,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,
Indris,Wilder,Marksman,Damage dealer,C,C,C,B,stationary,enemy-debuffer; interrupt,,fast,,,,,,Single target,Single target — average,,Single target — low,,,Knock back — Area — low; Bind — Single target — high,,Self — low,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — average,,,,,
Isabella,Graveborn,Support,Support,C,B,A+,C,stationary,ally-buffer; ally-healer; heal-inhibitor; temporary-stat-buffer,,fast,,,,,Area,,,,,Single target — high,,,Unaffected — Single target — Conditional,Single target — low — conditional (frequent),,Single target — low,Single target — low,,,,,,,,Self — average — conditional (frequent),,,,,,,,,Single target — low,,,Single target — low,,,,,,,,,Single target — low,Single target — low,,,Single target — low,Single target — low,,,,Single target — low
Kafra,Wilder,Warrior,Specialist,C,C,C,C,high movement,assassin; enemy-debuffer; mark-target; non-ult-utility; self-repositioner,,fast,,,,,,Single target,,,,,,Stun — Single target — average; Knock back — Single target — low,Unaffected — Self — On skill,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,Single target — average,,,,,
Kazim,Mauler,Marksman,Specialist,B,C,C,B,high movement,ally-buffer; aoe-damage; battle-start-burst; high-initial-energy; invincibility; mark-target; mass-cc; non-ult-utility; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,Single target — average,,,Stun — Single target — average; Knock up — Area — low; Knock up — Single target — low,,Single target — high,,Self — low — conditional (frequent),Multiple targets — average,,,,,,,,Self — average — conditional (frequent),,,Self — high,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koko,Mauler,Support,Support,A,B,B,A,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,fast,,,,,,Area,,,,Single target — high,All units — low,Stun — Area — average,,All units — low,,,Self — average,,,,All units — low,,,,,,,,Multiple targets — average,,,,,Single target — high,,,,,,Single target — low,,,,,,,,,,,,,,,
Kordan,Mauler,Warrior,Specialist,A,A,S,A,high movement,ally-buffer; high-initial-energy; hp-scaling; self-repositioner; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,Knock down — Single target — low; Knock up — Single target — low; Knock back — Area — low; Bind — Single target — high,,Area — low,,,,,Area — high,Self — low,,,,,,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,
Korin,Lightbearer,Warrior,Specialist,C,C,C,C,high movement,ally-shielder; hp-scaling,,fast,,,,,,Area,Single target — average,,Area — low,,Single target — average,Knock back — Area — low; Bind — Area — average,,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruger,Mauler,Warrior,Specialist,C,A+,A,C,moving,enemy-debuffer; life-drain,,fast,,,,,,"Area, Single target",,,,,,Knock down — Single target — low,,,,,,,,,,,,,,,,,Self — average,,,Self — low,,,,,,,,Single target — low,,,,,,,,,,Single target — low; Area — low,,,,Area — low,
Kulu,Hypogean,Marksman,Specialist,A+,C,C,S+,high movement,battlefield-modification; self-repositioner,slow,fast,,,,,,"All units, Area, Single target",,,,,,Knock up — Single target — low; Knock back — Single target — low,Unaffected — Self — On ultimate,Single target — low,,,,,Self — high,,,,,,,,,Self — high — conditional (frequent),,,,,,,,,,,,All units — low,,,,,,,,,Area — low,,,,,,
Laios,Dimensional,Warrior,Tank,A,C,C,C,moving,ally-buffer; ally-healer; high-initial-energy; summoner; temporary-stat-buffer,slow,fast,,yes,yes,,,,,,,,,Bind — Area — average,,Multiple targets — low — conditional (rare); Self — average,,,Area — low — conditional (rare),,,,,,,,Self — low — conditional (rare),,,,,Self — low — conditional (rare),,,,,,,,,,,,,,,,,Area — low,,,Area — high,,,,,
Lamentis,Hypogean,Marksman,Specialist,B,A+,B,C,moving,aoe-damage; high-initial-energy; hp-scaling; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,Single target — average,,Single target,Self — average,,Stun — Multiple targets — average,,,,Self — average,,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,Multiple targets — low,,,,,,,
Lenya,Wilder,Rogue,Damage dealer,C,B,C,B,high movement,backline-assassin; backline-inhibit; counterattack; self-repositioner,,fast,,,,,,"Area, Single target",,,,,Self — high,Stun — Single target — average; Knock back — Area — low,Unaffected — Self — Once,Self — average,,,,Self — average,,,Self — low,,,,Self — high,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,
Lily May,Wilder,Rogue,Specialist,A,B,C,A,high movement,cc-immunity; hp-scaling; invincibility; non-ult-utility; self-repositioner; ultimate-cancel,,fast,,,,,Single target,,,,Single target,,,Interrupt — Single target — low,Unaffected — Self — Conditional,Self — low,,,,,Self — low,,,Self — low,,,,,,Self — high,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,
Lorsan,Wilder,Support,Specialist,B,C,C,C,stationary,aoe-damage; backline-inhibit; dot-specialist; temporary-stat-buffer,,fast,yes,yes,,,,,,,,,,Stun — Multiple targets — high,Unaffected — Single target — On skill,Self — low,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,Single target — average,,,,,,,
Lucca,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-shielder; high-initial-energy; interrupt,,fast,,,,,,"Area, Single target",,,,Self — low,Self — average,Stun — Area — average; Knock down — Area — low; Knock up — Area — low; Interrupt — Single target — low; Disarm — Single target — average,Steadfast — Self — Permanent; Immune — Self — On skill,Single target — low,,,,,,,Self — low,,,,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-healer; ally-shielder; aoe-damage; enemy-debuffer,,fast,,,,,,"Area, Single target",,,,Multiple targets — average,Area — high; Self — average,Stun — Single target — low; Knock back — Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,Area — low; Single target — average,,,,,,,,,,,,,,,,,,
Lucy,Dimensional,Mage,Specialist,A,C,C,C,moving,ally-shielder; backline-assassin; backline-inhibit; high-initial-energy; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,,,,,Single target — high,Stun — Single target — average; Knock up — Single target — low,Unaffected — Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovic,Graveborn,Support,Support,A,B,A,A,stationary,ally-healer; aoe-healing,,average,yes,yes,,,"All units, Single target",,,,Single target — average,Multiple targets — average,,Stun — Single target — average,Unaffected — Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumont,Mauler,Tank,Tank,C,C,C,C,high movement,enemy-debuffer; non-ult-utility; taunt; temporary-stat-buffer,,average,,yes,,,,"Area, Single target",,,,,Self — high,Stun — Area — low; Stun — Single target — low; Knock up — Single target — low; Knock back — Area — low; Taunt — Area — average,Unaffected — Self — On skill,,,,Self — low,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,
Lyca,Wilder,Marksman,Specialist,C,A,C,B,stationary,ally-buffer; energy-provider; temporary-stat-buffer,,fast,,,,yes,,"All units, Area, Single target",,,,,,Stun — Single target — average,,,,All units — low,,,,,,,,,All units — low,,,,,,,,,,,,All units — low,,,,,,,,,,,,,All units — low; Single target — average,,,,,
Marcille,Dimensional,Mage,Damage dealer,A,C,C,S,stationary,ally-healer; aoe-damage; battle-start-burst; high-damage-ult; revive,,fast,,,,,"All units, Area, Single target",,,,,Single target — high,,Interrupt — Single target — low; Blind — Single target — average,Unaffected — Self — On skill,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilee,Lightbearer,Marksman,Damage dealer,B,B,C,C,high movement,hp-scaling; self-repositioner,,fast,,,,,,"Multiple targets, Single target",Self — low,,,,,Stun — Single target — low,,Self — average — conditional (frequent); Single target — low,,Self — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehira,Hypogean,Mage,Specialist,S+,B,A+,S,moving,aoe-damage; enemy-grouping; life-drain; mass-cc; temporary-stat-buffer; untargetable,,fast,,,,,"Area, Single target",,,Single target,,,,Charm — Single target — average; Charm — All units — low; Displace — All units — low,Untargetable — Self — On skill,,,,Multiple targets — average,,,,,,,,,,,,Self — low,Self — average,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Mikola,Mauler,Support,Support,B,B,A,B,moving,ally-buffer; aoe-healing; temporary-stat-buffer,,fast,,,,,,,,,,Multiple targets — average,,,Unaffected — Self — Conditional,All units — low; Self — low,,,Multiple targets — high,,,Multiple targets — average,,,,,,,,,,,,,,Multiple targets — high,,,,,,,,,,,,,,,,,,,,,
Mirael,Lightbearer,Mage,Damage dealer,C,C,C,C,stationary,dot-specialist,,fast,yes,,,,"Area, Single target",,,,,,,,,,,Self — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nara,Graveborn,Rogue,Specialist,B,C,C,B,mostly stationary,ally-healer; assassin; execute; heal-inhibitor; high-initial-energy,fast,fast,,,,,,Single target,Single target — high,Single target,Area — average,Area — low,,Knock down — Single target — average; Knock up — Single target — low; Displace — Single target — low,Unaffected — Self — Permanent,Self — low,,,,,,,,,,,Self — high,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,Single target — low,,,,
Natsu,Dimensional,Warrior,Damage dealer,B,C,C,B,moving,aoe-damage; dot-specialist; high-damage-ult; high-initial-energy; mass-cc,,fast,yes,,,,"Arc, Single target",,,,Single target,,,Stun — Arc — average; Knock down — Single target — low,,Self — low,,,Self — low,Self — low,,Self — low,,,,,,,,,,,,,Self — low,,,,,,,,,,,,,Single target — high,,Single target — average,,,,,,,
Nazrik,Mauler,Marksman,Damage dealer,A,A,B,B,stationary,heal-inhibitor; hp-scaling; mark-target,,fast,,,,,,Single target,Single target — high,,,,,Stun — Single target — average,,,,,,Self — low,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,Single target — low,,,Single target — low,Single target — average,Single target — low,,
Nerion,Graveborn,Marksman,Specialist,A,C,C,A+,mostly stationary,backline-assassin; backline-inhibit; battle-start-burst; dot-specialist; enemy-debuffer,,fast,yes,,,,"Area, Single target",,,,,,Self — high,Stun — Single target — average; Knock up — Area — low,,Self — high,,Self — high,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,Single target — low,,,,,,,,,
