Name,Faction,Class,Role,AFK Stages tier,Dream Realm tier,Dream Realm Endless tier,PVP tier,Movement,Behavior tags,Signature skill speed,Non-ultimate speed,DoT,HoT,Summons,Energy provider,Magic DMG,Physical DMG,True DMG,HP Loss DMG,Max HP DMG,Healing,Shields,Stun,Knock down,Knock up,Knock back,Frighten,Silence,Charm,Sleep,Displace,Bind,Interrupt,Taunt,Blind,Disarm,Unaffected,Steadfast,Immune,Untargetable,Cleanse,atk_buff,basic_stats_buff,atk_spd_buff,haste_buff,crit_buff,def_penetration_buff,def_buff,damage_taken_buff,damage_dealt_buff,ranged_damage_buff,magic_damage_buff,energy_buff,execution_buff,fatal_blow_immunity_buff,invincible_buff,lifedrain_buff,max_hp_buff,ally_empower_buff,attack_range_buff,healing_buff,ranged_def_buff,crit_dmg_boost_buff,vitality_buff,dodge_chance_buff,movement_speed_buff,exemption_buff,tidal_strength_buff,atk_debuff,basic_stats_debuff,dot_debuff,damage_taken_debuff,damage_dealt_debuff,debuff_duration_debuff,magic_damage_debuff,energy_debuff,execution_debuff,haste_debuff,magic_def_debuff,max_hp_debuff,movement_speed_debuff,phys_def_debuff,vitality_debuff,healing_debuff,crit_resist_debuff,vulnerable_debuff,atk_spd_debuff
Bonnie,Graveborn,Marksman,Specialist,A,A,C,A,high movement,aoe-damage; battle-start-burst; enemy-debuffer; non-ult-utility,fast,fast,yes,,,,"Area, Single target",,,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,Single target — low,,,Single target — low,,,,,,,,,
Brutus,Mauler,Warrior,Tank,A,B,C,B,moving,aoe-damage; cheat-death; invincibility; life-drain; taunt,fast,fast,,,,,,"Arc, Area",,,Arc — high,,,,,,,,,,,,,,Area — average,,,Self — On skill,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — average,,,,,
Bryon,Wilder,Marksman,Damage dealer,A+,C,C,C,stationary,battle-start-ult; cheat-death; high-initial-energy; summoner,slow,fast,yes,,yes,,Single target,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,Area — low,,,,,,,,,
Callan,Graveborn,Tank,Tank,A+,C,C,A+,moving,ally-shielder; cc-immunity,,fast,,,,,All units,,,,,,,All units — average; Single target — average,All units — low,,,,,,,,,,,,,Self — Start of battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina,Graveborn,Mage,Specialist,B,C,C,C,mostly stationary,dot-specialist; enemy-debuffer,,fast,,,,,"Area, Single target",,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low; Single target — low,Area — low,,,,,,,,
Cassadee,Lightbearer,Mage,Specialist,C,A,C,C,stationary,ally-buffer; aoe-damage; enemy-debuffer,average,fast,,,,,"Area, Single target",,,,,,,Single target — low; Multiple targets — low,,Single target — low; Multiple targets — low,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,,,,,,,
Cecia,Graveborn,Marksman,Damage dealer,B,B,C,C,mostly stationary,enemy-debuffer; mass-cc; summoner,,fast,yes,,yes,,,"Arc, Single target",,,,,,,,,,,,,,,Area — average; Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — low,Single target — low,,,,
Chippy,Lightbearer,Tank,Tank,,,,,high movement,self-repositioner,,average,,,,,,Single target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contess,Hypogean,Support,Support,A+,S+,S+,S+,stationary,ally-healer; ally-shielder; enemy-debuffer; stealth; temporary-stat-buffer; untargetable,,fast,yes,,,,,,,,,Multiple targets — high,Single target — average,Single target — average,,,,,Single target — high,,,,,,,,,,,,Self — On skill,,Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple targets — high; Single target — low,,,,,,,Multiple targets — low; Single target — low,,,,Single target — low,,,,,,,
Cryonaia,Hypogean,Mage,Damage dealer,B,C,B,S,mostly stationary,battlefield-modification; cc-immunity; execute; invincibility,,fast,yes,,,,"Area, Single target",,,,,,,,,,,,,,,,,,,,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Cyran,Lightbearer,Mage,Specialist,S,C,C,A+,mostly stationary,aoe-damage; enemy-grouping; execute; high-initial-energy,,fast,yes,,,,"Area, Single target",,All units — average,,,,,,Area — low,,,,,,,All units — low; Area — low,Area — low; Single target — low,,,,,Self — Start of battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,All units — low
Daimon,Graveborn,Tank,Tank,A+,B,B,A,stationary,ally-shielder; hp-scaling; non-ult-utility; summoner; temporary-stat-buffer,fast,fast,yes,,yes,,Single target,,,,Area — high,,,,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian,Wilder,Support,Support,C,B,C,B,stationary,ally-buffer; ally-healer; summoner; temporary-stat-buffer,fast,fast,,,yes,,"Area, Single target",,,,,Single target — average,,Single target — high,,,,,,,,,,,,Area — average; Single target — high,,,,,,,,,,Multiple targets — high — conditional (frequent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dionel,Celestial,Marksman,Damage dealer,C,C,C,A+,moving,aoe-damage; self-repositioner; untargetable,,fast,,,,,,Area,All units — average,,,,,,,Single target — low,,,,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Dunlingr,Celestial,Tank,Tank,A,C,C,S+,moving,ally-buffer; aoe-damage; battle-start-burst; interrupt; temporary-stat-buffer,,fast,,,,,"All units, Area",,,Single target — low,,,,,,,,,Single target — low,,,,,,,,,,,,,,Single target — low,,All units — low,Single target — average,,,,,,,,,,,,All units — low,,,,,,,,,,,,,,,,,,,All units — average,,Single target — low; All units — low,,,,,All units — low,,,,
Eironn,Wilder,Rogue,Specialist,S,C,C,A+,moving,aoe-damage; battle-start-burst; battle-start-ult; enemy-grouping; mass-cc,,fast,,,,,"Arc, Area",,,,,,,,,,,,,,,Area — low,Area — average; Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arc — average,Single target — high,,,,,,,,
Evie,Lightbearer,Support,Support,B,A+,B,S,high movement,ally-healer; self-repositioner; stealth; temporary-stat-buffer,,fast,,,,,Single target,,,,,Single target — low,,,,,,,Single target — high,,,Single target — low,Single target — high,,,,,,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,Multiple targets — average; Single target — average,,,,,Single target — low; All units — average,,,,,,,,
Faramor,Wilder,Rogue,Damage dealer,S,S,A+,B,moving,ally-buffer; aoe-damage; dot-specialist; hp-scaling,,fast,yes,,,,,"Area, Single target",Area — high,Area — high,,,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,
Fay,Lightbearer,Support,Support,C,A,B,C,mostly stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,Area,,,,,Arc — high,,,,,,,,,,,,,,,,,,,,,Arc — low,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,
Florabelle,Wilder,Warrior,Damage dealer,A,A+,S,C,stationary,aoe-damage; summoner,,fast,,,yes,,,"Area, Multiple targets",,,,,All summons — average,,,Area — low,,,,,,,,,,,,,,Owned summons — Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frieren,Dimensional,Mage,Damage dealer,S+,S+,S+,S+,stationary,aoe-damage; dot-specialist; high-damage-ult; self-repositioner,,fast,yes,,,,"Area, Single target",,All units — high,,,,,Single target — low,Single target — average,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,,,,,,,,,,,Single target — low,,,,
Galahad,Mauler,Mage,Damage dealer,S,A+,S+,B,stationary,ally-shielder; aoe-damage; summoner,fast,fast,,,yes,,"All units, Area, Single target",,,,,,,,,,,,,,,,Single target — average,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — average,,,Area — average,,,,,,
Gerda,Mauler,Tank,Tank,C,C,C,A,high movement,ally-healer; ally-shielder; aoe-healing; battle-start-burst; mass-cc; self-repositioner,fast,fast,,yes,,,,"Area, Single target",,,,Area — average,,Single target — average,,,,,,,Single target — low,,Single target — low,Area — low; Single target — low,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granny Dahnie,Wilder,Tank,Tank,C,B,C,C,moving,hp-scaling; taunt,,fast,yes,,,,,Single target,,,,,,,,,,,,,,,Single target — low,,Single target — average,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,Single target — high,,,,,,,,,
Gunnar,Hypogean,Tank,Tank,S+,S+,S+,S+,stationary,ally-shielder; aoe-damage; static-tile-buffer; temporary-stat-buffer,,fast,yes,,,,,"All units, Area, Single target",,,Single target,,,Single target — low,,,,,,,,,,,,,,,,,,,Single target — high,,Single target — low,,,,,,,,,,,,Single target — high,,,,Single target — high,,Single target — low,,Single target — low,,,,,,,,,,,,,,,,,,,Single target — low,Area — low,,,
Gwyneth,Lightbearer,Marksman,Damage dealer,A,S+,?,S+,stationary,dot-specialist; mass-cc; non-ult-utility,,fast,yes,,,,,"Area, Single target",,,Single target — low,,,Area — low,,,,,Area — low,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,Single target — low,,,,
Hammie,Lightbearer,Support,Support,,,,,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,average,,,,,Single target,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harak,Hypogean,Warrior,Damage dealer,C,C,A+,B,high movement,assassin; execute; life-drain,fast,fast,,,,,,Single target,,Single target — average,,,,,Single target — low,,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,Single target — low,,,
Hepler,Mauler,Tank,Tank,B,C,C,A+,moving,ally-healer; ally-shielder; high-initial-energy,,fast,,yes,,,,Area,,,,,,Area — average,,,,,,,,,,,Area — high,Area — high,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,
Hewynn,Wilder,Support,Support,B,C,C,C,stationary,ally-healer; aoe-healing; temporary-stat-buffer,,fast,,yes,,,,,,,,Single target — high,,,,,,,,,,,,,,,,Self — On skill,,,,,,,,Single target — average,,,,All units — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himmel,Dimensional,Warrior,Support,S,S+,A+,A+,high movement,ally-buffer; aoe-damage; self-repositioner,slow,fast,,,,,,"All units, Multiple targets, Single target",,Single target,All units,,,,Multiple targets — low,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Hodgkin,Graveborn,Warrior,Specialist,C,C,C,C,moving,aoe-damage; enemy-debuffer; summoner,,fast,,,yes,,,"Arc, Area",,,Area — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arc — low; Single target — high,,,,,,Single target — low,Single target — low,,,,
Hugin,Lightbearer,Support,Support,S+,A+,S,A,stationary,ally-shielder; energy-provider; high-initial-energy; static-tile-buffer; temporary-stat-buffer,fast,fast,,,,yes,,,,,,,Multiple targets — high,,,,,,,,,,,,,,,,,,,,Multiple targets — low,,,Multiple targets — high,,,,Single target — low,,,,Single target — average — conditional (frequent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor,Graveborn,Warrior,Specialist,C,C,C,A,high movement,aoe-damage; cheat-death; life-drain; self-repositioner; untargetable,,fast,,,,,,"All units, Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,
Indris,Wilder,Marksman,Damage dealer,C,C,C,B,stationary,enemy-debuffer; interrupt,,fast,,,,,,Single target,Single target — average,,Single target — low,,,,,,Area — low,,,,,,Single target — high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,Single target — average,,,,,
Isabella,Graveborn,Support,Support,C,B,A+,C,stationary,ally-buffer; ally-healer; temporary-stat-buffer,,fast,,,,,Area,,,,,Single target — high,,,,,,,,,,,,,,,,Single target — Conditional,,,,,Single target — low — conditional (frequent),,Single target — low,Single target — low,,,,,,,,,,,,,,,,,,,Single target — low,,,,,Single target — low,,,,,,,,,Single target — low,Single target — low,,,Single target — low,Single target — low,,,,Single target — low
Kafra,Wilder,Warrior,Specialist,C,C,C,C,high movement,assassin; enemy-debuffer; mark-target; non-ult-utility; self-repositioner,,fast,,,,,,Single target,,,,,,Single target — average,,,Single target — low,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,Single target — average,,,,,
Kazim,Mauler,Marksman,Specialist,B,C,C,B,high movement,ally-buffer; aoe-damage; battle-start-burst; high-initial-energy; invincibility; mark-target; mass-cc; non-ult-utility; temporary-stat-buffer,fast,fast,,,,,,"Area, Single target",,,Single target — average,,,Single target — average,,Area — low; Single target — low,,,,,,,,,,,,,,,,,Single target — high,,,Multiple targets — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koko,Mauler,Support,Support,A,B,B,A,mostly stationary,ally-buffer; ally-healer; temporary-stat-buffer,,fast,,,,,,Area,,,,Single target — high,All units — low,Area — average,,,,,,,,,,,,,,,,,,,All units — low,,,,,,,All units — low,,,,,,,,Multiple targets — average,,,,,,,Single target — high,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Kordan,Mauler,Warrior,Specialist,A,A,S,A,high movement,ally-buffer; high-initial-energy; hp-scaling; self-repositioner; temporary-stat-buffer,,fast,,,,,,"Area, Single target",,,,,,,Single target — low,Single target — low,Area — low,,,,,,Area — high,,,,,,,,,,Area — low,,,,,Area — high,,,,,,,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korin,Lightbearer,Warrior,Specialist,C,C,C,C,high movement,ally-shielder; hp-scaling,,fast,,,,,,Area,Single target — average,,Area — low,,Single target — average,,,,Area — low,,,,,,Area — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kruger,Mauler,Warrior,Specialist,C,A+,A,C,moving,enemy-debuffer; life-drain,,fast,,,,,,"Area, Single target",,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,Single target — low; Area — low,,,,Area — low,
Kulu,Hypogean,Marksman,Specialist,A+,C,C,S+,high movement,battlefield-modification; self-repositioner,slow,fast,,,,,,"All units, Area, Single target",,,,,,,,Single target — low,Single target — low,,,,,,,,,,,Self — On ultimate,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All units — low,,,,,,,,,Area — low,,,,,,
Laios,Dimensional,Warrior,Tank,A,C,C,C,moving,ally-buffer; ally-healer; high-initial-energy; summoner; temporary-stat-buffer,slow,fast,,yes,yes,,,,,,,,,,,,,,,,,,Area — average,,,,,,,,,,Multiple targets — low — conditional (rare),,,Area — low — conditional (rare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,,Area — high,,,,,
Lamentis,Hypogean,Marksman,Specialist,,,,,moving,aoe-damage; high-initial-energy; hp-scaling; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,Single target — average,,Single target,,,All units — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All units — low,,,,,,,
Lenya,Wilder,Rogue,Damage dealer,C,B,C,B,high movement,assassin; counterattack; self-repositioner,,fast,,,,,,"Area, Single target",,,,,,Single target — average,,,Area — low,,,,,,,,,,,Self — Once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily May,Wilder,Rogue,Specialist,A,B,C,A,high movement,cc-immunity; hp-scaling; invincibility; non-ult-utility; self-repositioner; ultimate-cancel,,fast,,,,,Single target,,,,Single target,,,,,,,,,,,,,Single target — low,,,,Self — Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,
Lorsan,Wilder,Support,Specialist,B,C,C,C,stationary,aoe-damage; dot-specialist; temporary-stat-buffer,,fast,yes,yes,,,,,,,,,,Multiple targets — high,,,,,,,,,,,,,,Single target — On skill,,,,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low,,Single target — average,,,,,,,
Lucca,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-shielder; high-initial-energy; interrupt,,fast,,,,,,"Area, Single target",,,,,,Area — average,Area — low,Area — low,,,,,,,,Single target — low,,,Single target — average,,Self — Permanent,Self — On skill,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius,Lightbearer,Tank,Tank,B,C,C,B,moving,ally-healer; ally-shielder; aoe-damage; enemy-debuffer,,fast,,,,,,"Area, Single target",,,,Multiple targets — average,Area — high,Single target — low,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area — low; Single target — average,,,,,,,,,,,,,,,,,,
Lucy,Dimensional,Mage,Specialist,A,C,C,C,moving,ally-shielder; high-initial-energy; mass-cc; summoner,fast,fast,,,yes,,"All units, Single target",,,,,,Single target — average,Single target — average,,Single target — low,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovic,Graveborn,Support,Support,A,B,A,A,stationary,ally-healer; aoe-healing,,average,yes,yes,,,"All units, Single target",,,,Single target — average,Multiple targets — average,,Single target — average,,,,,,,,,,,,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumont,Mauler,Tank,Tank,C,C,C,C,high movement,enemy-debuffer; non-ult-utility; taunt; temporary-stat-buffer,,average,,,,,,"Area, Single target",,,,,,Area — low; Single target — low,,Single target — low,Area — low,,,,,,,,Area — average,,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,,,,,,,,,,,,,,,,,
Lyca,Wilder,Marksman,Specialist,C,A,C,B,stationary,ally-buffer; energy-provider; temporary-stat-buffer,,fast,,,,yes,,"All units, Area, Single target",,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,All units — low,,,,,,,,,All units — low,,,,,,,,,,,,,,,,All units — low,,,,,,,,,,,,,All units — low; Single target — average,,,,,
Marcille,Dimensional,Mage,Damage dealer,A,C,C,S,stationary,ally-healer; aoe-damage; battle-start-burst; high-damage-ult; revive,,fast,,,,,"All units, Area, Single target",,,,,Single target — high,,,,,,,,,,,,Single target — low,,Single target — average,,Self — On skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilee,Lightbearer,Marksman,Damage dealer,B,B,C,C,high movement,hp-scaling; self-repositioner,,fast,,,,,,"Multiple targets, Single target",Self — low,,,,,Single target — low,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehira,Hypogean,Mage,Specialist,S+,B,A+,S,moving,aoe-damage; enemy-grouping; life-drain; mass-cc; temporary-stat-buffer; untargetable,,fast,,,,,"Area, Single target",,,Single target,,,,,,,,,,Single target — average; All units — low,,All units — low,,,,,,,,,Self — On skill,,,,,Multiple targets — average,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,,,,,,,
Mikola,Mauler,Support,Support,B,B,A,B,moving,ally-buffer; aoe-healing; temporary-stat-buffer,,fast,,,,,,,,,,Multiple targets — average,,,,,,,,,,,,,,,,Self — Conditional,,,,,All units — low,,,Multiple targets — high,,,Multiple targets — average,,,,,,,,,,,,,,,,Multiple targets — high,,,,,,,,,,,,,,,,,,,,,,,
Mirael,Lightbearer,Mage,Damage dealer,C,C,C,C,stationary,dot-specialist,,fast,yes,,,,"Area, Single target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nara,Graveborn,Rogue,Specialist,B,C,C,B,mostly stationary,ally-healer; assassin; execute; high-initial-energy,fast,fast,,,,,,Single target,Single target — high,Single target,Area — average,Area — low,,,Single target — average,Single target — low,,,,,,Single target — low,,,,,,Self — Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — average,,,Single target — low,,,,
Natsu,Dimensional,Warrior,Damage dealer,B,C,C,B,moving,aoe-damage; dot-specialist; high-damage-ult; high-initial-energy; mass-cc,,fast,yes,,,,"Arc, Single target",,,,Single target,,,Arc — average,Single target — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — high,,Single target — average,,,,,,,
Nazrik,Mauler,Marksman,Damage dealer,A,A,B,B,stationary,hp-scaling; mark-target,,fast,,,,,,Single target,Single target — high,,,,,Single target — average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,Single target — low,,,Single target — low,Single target — average,Single target — low,,
Nerion,Graveborn,Marksman,Specialist,A,C,C,A+,mostly stationary,battle-start-burst; dot-specialist; enemy-debuffer,,fast,yes,,,,"Area, Single target",,,,,,,Single target — average,,Area — low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single target — low,,,,,,,,,Single target — low,,,,,,,,,
